title,MODEL,PLU,LENGTH,LINE RATING,ACTION,CAST WEIGHT,PIECES,MATERIAL,GUIDES,bcf_code,LINE RATING (PE),CAST WEIGHT (G),LURE RATING,BLANK MATERIAL,BLANK,TYPE,REAR GRIP,ROD TYPE,ROD CONSTRUCTION,PE RATING,BUTT ASSMEBLY,DESCRIPTION,JIG WEIGHT,REEL SEAT,ROD BLANK,TIP,JIG RATING,Guides,TARGET SPECIES,format,BLANK CONSTRUCTION,SQUID JIG SIZE,SECTIONS,FUJI GUIDES
TT Copper Head Spinning Rod 7ft 3-6kg,TT COPPER HEAD CHS702L,663934.0,7',1-3kg,Light,1-8g,2,24T Carbon,Fuji K Series,M663934,,,,,,,,,,,,,,,,,,,,,,,,
TT Copper Head Spinning Rod 7ft 3-6kg,TT COPPER HEAD CHS702ML,663936.0,7',2-4kg,Medium,3-15g,2,24T Carbon,Fuji K Series,M663934,,,,,,,,,,,,,,,,,,,,,,,,
TT Copper Head Spinning Rod 7ft 3-6kg,TT COPPER HEAD CHS702ML,663935.0,7',3-6kg,Medium Light,5-20g,2,24T Carbon,Fuji K Series,M663934,,,,,,,,,,,,,,,,,,,,,,,,
Daiwa 22 BG Bluewater Spinning Rod,22 BG BLUEWATER S56-3/5,,"5'6""/168cm",,,,1,HSD Graphite,SEAGUIDE Titanium Oxide,M635418,PE 3-5,90-180g,,,,,,,,,,,,,,,,,,,,,,
Daiwa 22 BG Bluewater Spinning Rod,22 BG BLUEWATER S56-5/8,,"5'6""/168cm",,,,1,HSD Graphite,SEAGUIDE Titanium Oxide,M635418,PE 5-8,150-300g,,,,,,,,,,,,,,,,,,,,,,
Daiwa 22 BG Bluewater Spinning Rod,22 BG BLUEWATER S60-4/6,,6’0”/183cm,,,,1,HSD Graphite,SEAGUIDE Titanium Oxide,M635418,PE 4-6,120-300g,,,,,,,,,,,,,,,,,,,,,,
Daiwa 22 BG Bluewater Spinning Rod,22 BG BLUEWATER S62-2/3,,"6'2""/188cm",,,,1,HSD Graphite,SEAGUIDE Titanium Oxide,M635418,PE 2-3,30-120g,,,,,,,,,,,,,,,,,,,,,,
Daiwa 22 BG Bluewater Spinning Rod,22 BG BLUEWATER S64-2/4,,"6'4""/193cm",,,,1,HSD Graphite,SEAGUIDE Titanium Oxide,M635418,PE 2-4,60-120g,,,,,,,,,,,,,,,,,,,,,,
Daiwa 22 BG Bluewater Spinning Rod,22 BG BLUEWATER S70-2/3,,"7'0""/213cm",,,,1,HSD Graphite,SEAGUIDE Titanium Oxide,M635418,PE 2-3,30-120g,,,,,,,,,,,,,,,,,,,,,,
Daiwa 22 BG Bluewater Spinning Rod,22 BG BLUEWATER S70-3/5,,"7'0""/213cm",,,,1,HSD Graphite,SEAGUIDE Titanium Oxide,M635418,PE 3-5,90-180g,,,,,,,,,,,,,,,,,,,,,,
Daiwa 22 BG Bluewater Spinning Rod,22 BG BLUEWATER S702-3/5,,"7'0""/213cm",,,,2,HSD Graphite,SEAGUIDE Titanium Oxide,M635418,PE 3-5,90-180g,,,,,,,,,,,,,,,,,,,,,,
Daiwa 22 BG Bluewater Spinning Rod,22 BG BLUEWATER S792-3/5,,"7'9""/236cm",,,,2,HSD Graphite,SEAGUIDE Titanium Oxide,M635418,PE 3-5,90-180g,,,,,,,,,,,,,,,,,,,,,,
Daiwa 22 BG Bluewater Spinning Rod,22 BG BLUEWATER S80-6/8,,"8'0""/244cm",,,,2,HSD Graphite,SEAGUIDE Titanium Oxide,M635418,PE 6-8,150-300g,,,,,,,,,,,,,,,,,,,,,,
Daiwa 22 BG Bluewater Spinning Rod,22 BG BLUEWATER S902-2/4,,"9'0""/274cm",,,,2,HSD Graphite,SEAGUIDE Titanium Oxide,M635418,PE 2-4,60-120g,,,,,,,,,,,,,,,,,,,,,,
Daiwa 22 BG Bluewater Spinning Rod,22 BG BLUEWATER S962-3/5,,"9'6""/290cm",,,,2,HSD Graphite,SEAGUIDE Titanium Oxide,M635418,PE 3-5,90-180g,,,,,,,,,,,,,,,,,,,,,,
Shimano TCurve Spinning Rod,TCURVE 682SPUL,600761.0,"6'8""",1-3kg,Ultra light,,2,,Fuji K Faz Lite,M600761,,,1-7g,TC4 graphite,,,,,,,,,,,,,,,,,,,,
Shimano TCurve Spinning Rod,TCURVE 742SPD,600767.0,"7'4""",1-4kg,Ultra light,,2,,Fuji K Faz Lite,M600761,,,1-7g,TC4 graphite,,,,,,,,,,,,,,,,,,,,
Shimano TCurve Spinning Rod,TCURVE 702SPL,600763.0,"7'0""",2-4kg,Light,,2,,Fuji K Faz Lite,M600761,,,1-10g,TC4 graphite,,,,,,,,,,,,,,,,,,,,
Shimano TCurve Spinning Rod,TCURVE 702SAL,600762.0,7',2-5kg,Light,,2,,Fuji K Faz Lite,M600761,,,1-10g,TC4 graphite,,,,,,,,,,,,,,,,,,,,
Shimano TCurve Spinning Rod,TCURVE 722SPM,600765.0,"7'2""",3-6kg,Medium,,2,,Fuji K Faz Lite,M600761,,,5-28g,TC4 graphite,,,,,,,,,,,,,,,,,,,,
