BCF Description,BCF Link,BCF Price,BCF Club Price
"Nomad Spinning Rod 7ft 2in, 10LB-20LB",https://www.bcf.com.au/p/nomad-spinning-rod-7ft-2in-10lb-20lb/606947.html?cgid=BCF0305,$279.99,
Shimano Speedmaster Overhead Rod,https://www.bcf.com.au/p/shimano-speedmaster-overhead-rod/M618947.html?cgid=BCF0305,$479.99 - $529.99,
Shimano Grappler Type J Overhead Rod 6ft PE4,https://www.bcf.com.au/p/shimano-grappler-type-j-overhead-rod-6ft-pe4/M604936.html?cgid=BCF0305,$519.99,
Samaki Vanquish Jig Baitcaster Rod 6ft 3in,https://www.bcf.com.au/p/samaki-vanquish-jig-baitcaster-rod-6ft-3in/M643765.html?cgid=BCF0305,$299.99,
NS Black Hole Amped II Overhead Jigging Rod 6ft 4in PE3-5,https://www.bcf.com.au/p/ns-black-hole-amped-ii-overhead-jigging-rod-6ft-4in-pe3-5/621285.html?cgid=BCF0305,$234.99,
Nomad Spinning Rod Slow Jig 6ft 3in PE 10lb-30lb,https://www.bcf.com.au/p/nomad-spinning-rod-slow-jig-6ft-3in-pe-10lb-30lb/644844.html?cgid=BCF0305,$289.99,
"Nomad Spinning Rod 6ft, PE3-5 30LB-65LB",https://www.bcf.com.au/p/nomad-spinning-rod-6ft-pe3-5-30lb-65lb/606939.html?cgid=BCF0305,$369.99,
Wilson Live Fibre Jig Overhead Rod 6ft 6in 10-15kg,https://www.bcf.com.au/p/wilson-live-fibre-jig-overhead-rod-6ft-6in-10-15kg/303104.html?cgid=BCF0305,$299.99,
Daiwa 22 BG Bluewater Overhead Rod,https://www.bcf.com.au/p/daiwa-22-bg-bluewater-overhead-rod/M635430.html?cgid=BCF0305,$129.99,
Abu Garcia Veritas Jig Spinning Rod,https://www.bcf.com.au/p/abu-garcia-veritas-jig-spinning-rod/M648900.html?cgid=BCF0305,$159.99,
TT Copper Head Baitcaster Rod,https://www.bcf.com.au/p/tt-copper-head-baitcaster-rod/M663930.html?cgid=BCF0305,$129.99 - $139.99,
Surecatch Bigfield Surf Rod 10ft 6in 2pce,https://www.bcf.com.au/p/surecatch-bigfield-surf-rod-10ft-6in-2pce/112113.html?cgid=BCF0305,$49.99,
Samaki Vanquish Spinning Rod,https://www.bcf.com.au/p/samaki-vanquish-spinning-rod/M643743.html?cgid=BCF0305,$299.99 - $499.99,
Ocean's Legacy Stinger Slow Jig Overhead Rod 6ft 2in,https://www.bcf.com.au/p/oceans-legacy-stinger-slow-jig-overhead-rod-6ft-2in/M663976.html?cgid=BCF0305,$299.99,
Samaki C12 V3 Baitcaster Rod,https://www.bcf.com.au/p/samaki-c12-v3-baitcaster-rod/M662331.html?cgid=BCF0305,$399.99 - $429.99,
Shimano Rod Wrap,https://www.bcf.com.au/p/shimano-rod-wrap/M415323.html?cgid=BCF0305,$14.99,
Abu Garcia Salty Stage KRX II Baitcaster Rod,https://www.bcf.com.au/p/abu-garcia-salty-stage-krx-ii-baitcaster-rod/M648896.html?cgid=BCF0305,$279.99,
"Nomad Overhead Rod 6ft, PE4-6 40LB-80LB",https://www.bcf.com.au/p/nomad-overhead-rod-6ft-pe4-6-40lb-80lb/606941.html?cgid=BCF0305,$389.99,
Samaki Vanquish Overhead Rod,https://www.bcf.com.au/p/samaki-vanquish-overhead-rod/M643746.html?cgid=BCF0305,$329.99 - $359.99,
"Nomad Spinning Rod 8ft 3in, PE5-8 50LB-80LB",https://www.bcf.com.au/p/nomad-spinning-rod-8ft-3in-pe5-8-50lb-80lb/606943.html?cgid=BCF0305,$579.99,
Wilson Venom Overhead Jig Rod  5'5,https://www.bcf.com.au/p/wilson-venom-overhead-jig-rod--55/M591288.html?cgid=BCF0305,$564.99 - $589.99,
"Nomad Spinning Rod 7ft 8in, PE4-6 40LB-65LB",https://www.bcf.com.au/p/nomad-spinning-rod-7ft-8in-pe4-6-40lb-65lb/606942.html?cgid=BCF0305,$499.99,
Nomad Spinning Rod Offshore 7ft 4in PE1-2 20lb-40lb,https://www.bcf.com.au/p/nomad-spinning-rod-offshore-7ft-4in-pe1-2-20lb-40lb/644841.html?cgid=BCF0305,$419.99,
Daiwa Demon Blood Overhead Rod,https://www.bcf.com.au/p/daiwa-demon-blood-overhead-rod/M613063.html?cgid=BCF0305,$399.99,
Shimano Game Type J Overhead Rod,https://www.bcf.com.au/p/shimano-game-type-j-overhead-rod/M618952.html?cgid=BCF0305,$599.99,
Assassin Vector Drone Surf Rod Heavy 12ft 6in,https://www.bcf.com.au/p/assassin-vector-drone-surf-rod-heavy-12ft-6in/667513.html?cgid=BCF0305,$629.99,
Wilson Live Fibre Surf Rod 10ft 6in 2pce,https://www.bcf.com.au/p/wilson-live-fibre-surf-rod-10ft-6in-2pce/303065.html?cgid=BCF0305,$229.99,
Abu Garcia Veritas Jig Overhead Rod,https://www.bcf.com.au/p/abu-garcia-veritas-jig-overhead-rod/M648952.html?cgid=BCF0305,$159.99,
Mastergrip HD Blue Rod Bucket,https://www.bcf.com.au/p/mastergrip-hd-blue-rod-bucket/667496.html?cgid=BCF0305,$59.99,
"Nomad Spinning Rod 7ft 8in, PE8 80LB-100LB",https://www.bcf.com.au/p/nomad-spinning-rod-7ft-8in-pe8-80lb-100lb/606944.html?cgid=BCF0305,$579.99,
"Nomad Spinning Rod 6ft, PE5-8 50LB-100LB",https://www.bcf.com.au/p/nomad-spinning-rod-6ft-pe5-8-50lb-100lb/606940.html?cgid=BCF0305,$419.99,
"Nomad Spinning Rod 6ft 2in, PE2-3 20LB-40LB",https://www.bcf.com.au/p/nomad-spinning-rod-6ft-2in-pe2-3-20lb-40lb/606938.html?cgid=BCF0305,$369.99,
Bone Ocean Thug Jigging Overhead Rod,https://www.bcf.com.au/p/bone-ocean-thug-jigging-overhead-rod/M662306.html?cgid=BCF0305,$319.99,
Bone Ocean Thug Jigging Spinning Rod,https://www.bcf.com.au/p/bone-ocean-thug-jigging-spinning-rod/M662308.html?cgid=BCF0305,$309.99,
Pryml Hook and Lure Holder 5pc,https://www.bcf.com.au/p/pryml-hook-and-lure-holder-5pc/553722.html?cgid=BCF0305,$5.99,
Wilson Live Fibre Overhead Rod 6'6,https://www.bcf.com.au/p/wilson-live-fibre-overhead-rod-66/M591315.html?cgid=BCF0305,$239.99,
Surecatch Bigfield Spinning Rod 9ft 2 Piece,https://www.bcf.com.au/p/surecatch-bigfield-spinning-rod-9ft-2-piece/112120.html?cgid=BCF0305,$49.99,
Shimano Tiagra Hyper Bent Butt Overhead Game Rod,https://www.bcf.com.au/p/shimano-tiagra-hyper-bent-butt-overhead-game-rod/624135.html?cgid=BCF0305,$799.99,
PENN Ocean Assassin Overhead Rod,https://www.bcf.com.au/p/penn-ocean-assassin-overhead-rod/M645235.html?cgid=BCF0305,$299.99,
