BCF Description,ANA Description
Daiwa 23 TD Black Spinning Rod,"Daiwa 23 TD Black Tang 7'8"" 2pc 2-5kg Spin Rod"
Shimano Zodias Spinning Rod,Shimano Zodias Travel 7FT Spin Rod
Samaki Zing Gen 3 Spinning Rod,Samurai Osprey 7FT 1 Piece Spinning Rod
Ugly Stik Gold II Spinning Rod,Ugly Stik Gold 601MH 8-15KG Spinning Rod
Shimano Maikuro II Spinning Rod,Shimano Maikuro II 7' 2pc 3-6kg Spin Rod
Daiwa 23 TD Hyper Spinning Rod,Daiwa 20 Aird X 701LXS Spinning Rod
Daiwa Saltist Hyper Spinning Rod V2,Daiwa Legalis LT 762HFS Spinning Rod
Shimano Jewel Spinning Rod,Shimano T Curve Deep Jig Spinning Rod
Daiwa 23 Revros Spinning Rod,Daiwa 20 Aird X 701LXS Spinning Rod
Penn Prevail II Surf Rod,Penn Prevail II 9' 2pc 10-15kg Surf Rod
Abu Garcia Veritas 4.0 Travel Rod,Abu Garcia Veritas Tournament 7' 2pc 4-8kg Spin Rod
Shimano Ultegra Spinning Rod,Shimano T Curve Deep Jig Spinning Rod
Daiwa 23 TD Black Baitcaster Rod,Daiwa 23 TD Black Mullet 7' 1pc 5-10kg Baitcaster Rod
Shimano TCurve Spinning Rod,Shimano T Curve Deep Jig Spinning Rod
Shimano Terez Spinning Rod,Shimano T Curve Deep Jig Spinning Rod
Daiwa Beefstick Z Spinning Rod,Daiwa Legalis LT 762HFS Spinning Rod
Shimano Tiagra Ultra Rollered Overhead Game Rod,"Shimano Tiagra 7'6"" 2 piece 60kg Overhead Rod"
Ugly Stik Pink Spinning Rod,Ugly Stik Gold 601MH 8-15KG Spinning Rod
Abu Garcia Veritas 4.0 Spinning Rod,"Abu Garcia Veritas Elite 7'7"" 2pc 4-8kg Spin Rod"
PENN Spinfisher Elite Surf Rod,Penn Spinfisher SSM 1202 Surf Rod
Shimano Raider Flathead Spinning Rod,Shimano Raider Travel Medium 7ft Spin Rod
Bone Voyage Travel Spinning Rod,
Daiwa Sensor Wave Surf Rod,Daiwa Sensor Sandstorm 9' 2pc 6-10kg Surf Rod
PENN Spinfisher Elite Spinning Rod,
Daiwa 20 Aird-X Spinning Rod,Daiwa 20 Aird X 701LXS Spinning Rod
Daiwa 22 BG Bluewater Spinning Rod,Daiwa BG Bluewater S80-6/8 Spin Rod
